Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97% cache / 2.5% input / 0.5% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                   Monthly fee     Served model                Monthly tokens (B)  USD/MTok  Confidence
---  -------------------------------------  --------------  --------------------------  ------------------  --------  ----------
1    Step Plan Max (¥699)                   CNY 699         Step 3.5 Flash              173.16              0.0006    medium
2    Step Plan Pro (¥199)                   CNY 199         Step 3.5 Flash              34.632              0.00085   medium
3    OpenCode Go                            USD 10          Muse Spark 1.3 Contributor  11.0294             0.00091   medium
4    OpenCode Go                            USD 10          Muse Spark 1.2 Contributor  11.0294             0.00091   medium
5    Step Plan Max (¥699)                   CNY 699         Step 3.7 Flash              85.883              0.0012    medium
6    OpenCode Go                            USD 10          MiMo V2.5                   7.8782              0.00127   medium
7    OpenCode Go                            USD 10          MiMo V2.6 Flash             7.8782              0.00127   medium
8    ChatGPT Pro 20x                        USD 200         GPT 5.6 Luna                150.222             0.00133   low
9    Step Plan Pro (¥199)                   CNY 199         Step 3.7 Flash              17.1766             0.00171   medium
10   Step Plan Plus (¥99)                   CNY 99          Step 3.5 Flash              6.9264              0.00211   medium
11   Command Code GOAT                      USD 10          DeepSeek V4.1 Flash         4.1408              0.00241   medium
12   Command Code GOAT                      USD 10          MiMo V2.5                   3.9391              0.00254   medium
13   Command Code GOAT                      USD 10          MiMo V2.6 Flash             3.9391              0.00254   medium
14   ChatGPT Pro 5x                         USD 100         GPT 5.6 Luna                37.556              0.00266   low
15   ChatGPT Plus                           USD 20          GPT 5.6 Luna                7.511               0.00266   high
16   Command Code GOAT                      USD 10          Muse Spark 1.3 Contributor  3.6765              0.00272   medium
17   Command Code GOAT                      USD 10          Muse Spark 1.2 Contributor  3.6765              0.00272   medium
18   GLM Coding Pro (v2 ¥149) Off-peak      CNY 149         GLM 5.3 Flash               7.492               0.00293   high
19   OpenCode Go                            USD 10          LongCat 2.0                 3.1056              0.00322   medium
20   Ollama Pro                             USD 20          DeepSeek V4.1 Flash         6.2112              0.00322   medium
21   Ollama Max                             USD 100         DeepSeek V4.1 Flash         31.0559             0.00322   medium
22   Step Plan Max (¥699)                   CNY 699         Step 5 Preview              28.3186             0.00364   medium
23   GLM Coding Pro (v2 ¥149) Midpoint      CNY 149         GLM 5.3 Flash               5.619               0.00391   high
24   GLM Coding Max (v2 ¥469) Off-peak      CNY 469         GLM 5.3 Flash               17.481              0.00396   high
25   Step Plan Mini (¥49)                   CNY 49          Step 3.5 Flash              1.7316              0.00417   medium
26   Step Plan Plus (¥99)                   CNY 99          Step 3.7 Flash              3.4353              0.00425   medium
27   Claude Pro                             USD 20          Claude Sonnet 5             4.695               0.00426   medium
28   Google AI Ultra 20x                    USD 199.99      Gemini 3.8 Flash            44.82               0.00446   low
29   Claude Max 20x (9/14+)                 USD 200         Claude Sonnet 5             39.25               0.0051    medium
30   Claude Max 5x (9/14+)                  USD 100         Claude Sonnet 5             19.625              0.0051    low
31   Step Plan Pro (¥199)                   CNY 199         Step 5 Preview              5.6637              0.00518   medium
32   Ollama Max                             USD 100         DeepSeek V4 Flash           19.2431             0.0052    medium
33   Ollama Pro                             USD 20          DeepSeek V4 Flash           3.8486              0.0052    medium
34   GLM Coding Max (v2 ¥469) Midpoint      CNY 469         GLM 5.3 Flash               13.111              0.00528   high
35   MiMo Token Plan Max (Night 0.8x)       $100 · CN ¥659  MiMo V2.6 Flash             18.842              0.00531   medium
36   MiMo Token Plan Max (Night 0.8x)       $100 · CN ¥659  MiMo V2.5                   18.842              0.00531   medium
37   Claude Pro                             USD 20          Claude Opus 5.5             3.6089              0.00554   low
38   MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.6 Flash             8.732               0.00573   medium
39   MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.5                   8.732               0.00573   medium
40   Command Code GOAT                      USD 10          Hy3                         1.7348              0.00576   medium
41   GLM Coding Lite (v2 ¥49) Off-peak      CNY 49          GLM 5.3 Flash               1.249               0.00579   high
42   GLM Coding Pro (v2 ¥149) Peak          CNY 149         GLM 5.3 Flash               3.746               0.00587   high
43   MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99    MiMo V2.6 Flash             2.528               0.00633   medium
44   MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99    MiMo V2.5                   2.528               0.00633   medium
45   MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39     MiMo V2.6 Flash             0.942               0.00637   medium
46   MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39     MiMo V2.5                   0.942               0.00637   medium
47   OpenCode Go                            USD 10          DeepSeek V4.1 Flash         1.5528              0.00644   medium
48   Claude Max 5x (9/14+)                  USD 100         Claude Opus 5.5             15.0852             0.00663   low
49   Claude Max 20x (9/14+)                 USD 200         Claude Opus 5.5             30.17               0.00663   medium
50   MiMo Token Plan Max (Day)              $100 · CN ¥659  MiMo V2.6 Flash             15.074              0.00663   medium
51   MiMo Token Plan Max (Day)              $100 · CN ¥659  MiMo V2.5                   15.074              0.00663   medium
52   OpenCode Go                            USD 10          Hy3                         1.487               0.00672   medium
53   MiMo Token Plan Pro (Day)              $50 · CN ¥329   MiMo V2.6 Flash             6.985               0.00716   medium
54   MiMo Token Plan Pro (Day)              $50 · CN ¥329   MiMo V2.5                   6.985               0.00716   medium
55   OpenCode Go                            USD 10          Qwen3.8 Flash               1.3876              0.00721   medium
56   MiMo V2.6 Flash API                    Pay-as-you-go   MiMo V2.6 Flash             -                   0.00762   high
57   GLM Coding Lite (v2 ¥49) Midpoint      CNY 49          GLM 5.3 Flash               0.936               0.00772   high
58   OpenCode Go                            USD 10          Omen Alpha                  1.2739              0.00785   medium
59   MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.6 Flash             2.022               0.00791   medium
60   MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.5                   2.022               0.00791   medium
61   GLM Coding Max (v2 ¥469) Peak          CNY 469         GLM 5.3 Flash               8.74                0.00792   high
62   MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.6 Flash             0.754               0.00796   medium
63   MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.5                   0.754               0.00796   medium
64   ChatGPT Pro 20x                        USD 200         GPT 5.6 Terra               24.9552             0.00801   medium
65   Step Plan Mini (¥49)                   CNY 49          Step 3.7 Flash              0.8588              0.00842   medium
66   Command Code GOAT                      USD 10          GLM 5.3 Flash               1.1315              0.00884   medium
67   GLM Coding Pro (v2 ¥149) Off-peak      CNY 149         GLM 5.3                     2.472               0.00889   high
68   Google AI Pro                          USD 19.99       Gemini 3.8 Flash            2.241               0.00892   high
69   Google AI Ultra 5x                     USD 99.99       Gemini 3.8 Flash            11.205              0.00892   low
70   GLM Coding Max (v3 ¥1078) Off-peak     CNY 1078        GLM 5.3 Flash               17.481              0.0091    high
71   Command Code GOAT                      USD 10          Qwen3.8 27B                 1.0972              0.00911   medium
72   Command Code GOAT                      USD 10          MiMo V2.5 Pro               1.0685              0.00936   medium
73   Command Code GOAT                      USD 10          MiMo V2.6 Pro               1.0685              0.00936   medium
74   OpenCode Go                            USD 10          Qwen3.7 Plus                1.0563              0.00947   medium
75   DeepSeek V4.1 Flash API Off-peak       Pay-as-you-go   DeepSeek V4.1 Flash         -                   0.00966   high
76   MiniMax Token Plan Ultra               CNY 469         MiniMax M3                  7.1                 0.00974   high
77   MiniMax Token Plan Max                 CNY 119         MiniMax M3                  1.8                 0.00975   high
78   Cursor Ultra (Standard)                USD 200         Composer 2.5                19.9608             0.01002   medium
79   GLM Coding Pro (v3 ¥538) Off-peak      CNY 538         GLM 5.3 Flash               7.492               0.01059   high
80   Claude Pro                             USD 20          Claude Opus 5               1.878               0.01065   high
81   Claude Pro                             USD 20          Claude Opus 4.8             1.878               0.01065   low
82   MiniMax Token Plan Max (Global)        USD 55          MiniMax M3                  5.1                 0.01078   high
83   Command Code GOAT                      USD 10          Qwen3.8 Flash               0.9145              0.01093   medium
84   Cursor Pro+ (Standard)                 USD 60          Composer 2.5                5.3229              0.01127   low
85   GLM Coding Lite (v2 ¥49) Peak          CNY 49          GLM 5.3 Flash               0.624               0.01158   high
86   Command Code GOAT                      USD 10          Step 3.5 Flash              0.8547              0.0117    medium
87   Ollama Max                             USD 100         GLM 5.3 Flash               8.4866              0.01178   medium
88   Ollama Pro                             USD 20          GLM 5.3 Flash               1.6973              0.01178   medium
89   GLM Coding Pro (v2 ¥149) Midpoint      CNY 149         GLM 5.3                     1.854               0.01186   high
90   OpenCode Go                            USD 10          MiniMax M3                  0.8368              0.01195   medium
91   OpenCode Go                            USD 10          MiniMax M2.7                0.8368              0.01195   medium
92   OpenCode Go                            USD 10          MiniMax M2.5                0.8368              0.01195   medium
93   GLM Coding Max (v2 ¥469) Off-peak      CNY 469         GLM 5.3                     5.769               0.01199   high
94   MiniMax Token Plan Plus                CNY 49          MiniMax M3                  0.6                 0.01205   high
95   MiniMax Token Plan Plus                CNY 49          MiniMax M2.7                0.6                 0.01205   medium
96   GLM Coding Max (v3 ¥1078) Midpoint     CNY 1078        GLM 5.3 Flash               13.111              0.01213   high
97   OpenCode Go                            USD 10          MiMo V2.5 Pro               0.8004              0.01249   medium
98   OpenCode Go                            USD 10          MiMo V2.6 Pro               0.8004              0.01249   medium
99   MiMo Token Plan Max (Night 0.8x)       $100 · CN ¥659  MiMo V2.6 Pro               7.93                0.01261   medium
100  MiMo Token Plan Max (Night 0.8x)       $100 · CN ¥659  MiMo V2.5 Pro               7.93                0.01261   medium
101  OpenCode Go                            USD 10          Qwen3.6 Plus                0.7895              0.01267   medium
102  Claude Max 20x (9/14+)                 USD 200         Claude Opus 5               15.7                0.01274   medium
103  Claude Max 5x (9/14+)                  USD 100         Claude Opus 5               7.85                0.01274   medium
104  Claude Max 20x (9/14+)                 USD 200         Claude Opus 4.8             15.7                0.01274   low
105  Step Plan Plus (¥99)                   CNY 99          Step 5 Preview              1.1327              0.01289   high
106  MiniMax Token Plan Plus (Global)       USD 22          MiniMax M3                  1.7                 0.01294   high
107  MiniMax Token Plan Plus (Global)       USD 22          MiniMax M2.7                1.7                 0.01294   medium
108  MiniMax Token Plan Ultra (Global)      USD 132         MiniMax M3                  9.8                 0.01347   high
109  MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.6 Pro               3.675               0.01361   medium
110  MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.5 Pro               3.675               0.01361   medium
111  GLM Coding Lite (v3 ¥118) Off-peak     CNY 118         GLM 5.3 Flash               1.249               0.01394   high
112  GLM Coding Pro (v3 ¥538) Midpoint      CNY 538         GLM 5.3 Flash               5.619               0.01412   high
