订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月            服务模型                    月额度(亿)  $/MTok   置信度
----  ---------------------------------  -----------------  --------------------------  ----------  -------  ------
1     Step Plan Max (¥699)               CNY 699            Step 3.5 Flash              1731.6      0.0006   medium
2     ChatGPT Pro 20x                    USD 200            GPT 5.6 Luna                1502.22     0.00133  low
3     Step Plan Max (¥699)               CNY 699            Step 3.7 Flash              858.83      0.0012   medium
4     Google AI Ultra 20x                USD 199.99         Gemini 3.8 Flash            448.2       0.00446  low
5     Claude Max 20x (9/14+)             USD 200            Claude Sonnet 5             392.5       0.0051   medium
6     ChatGPT Pro 5x                     USD 100            GPT 5.6 Luna                375.56      0.00266  low
7     Step Plan Pro (¥199)               CNY 199            Step 3.5 Flash              346.32      0.00085  medium
8     Ollama Max                         USD 100            DeepSeek V4.1 Flash         310.559     0.00322  medium
9     Claude Max 20x (9/14+)             USD 200            Claude Opus 5.5             301.7       0.00663  medium
10    Step Plan Max (¥699)               CNY 699            Step 5 Preview              283.186     0.00364  medium
11    ChatGPT Pro 20x                    USD 200            GPT 5.6 Terra               249.552     0.00801  medium
12    Cursor Ultra (Standard)            USD 200            Composer 2.5                199.608     0.01002  medium
13    Claude Max 5x (9/14+)              USD 100            Claude Sonnet 5             196.25      0.0051   low
14    Ollama Max                         USD 100            DeepSeek V4 Flash           192.431     0.0052   medium
15    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.6 Flash             188.42      0.00531  medium
16    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.5                   188.42      0.00531  medium
17    GLM Coding Max (v3 ¥1078) 闲时     CNY 1078           GLM 5.3 Flash               174.81      0.0091   high
18    GLM Coding Max (v2 ¥469) 闲时      CNY 469            GLM 5.3 Flash               174.81      0.00396  high
19    Step Plan Pro (¥199)               CNY 199            Step 3.7 Flash              171.766     0.00171  medium
20    Claude Max 20x (9/14+)             USD 200            Claude Opus 5               157         0.01274  medium
21    Claude Max 20x (9/14+)             USD 200            Claude Opus 4.8             157         0.01274  low
22    Claude Max 5x (9/14+)              USD 100            Claude Opus 5.5             150.852     0.00663  low
23    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.6 Flash             150.74      0.00663  medium
24    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.5                   150.74      0.00663  medium
25    GLM Coding Max (v3 ¥1078) 中间值   CNY 1078           GLM 5.3 Flash               131.11      0.01213  high
26    GLM Coding Max (v2 ¥469) 中间值    CNY 469            GLM 5.3 Flash               131.11      0.00528  high
27    ChatGPT Pro 20x                    USD 200            GPT 5.6 Sol                 129.02      0.0155   high
28    Google AI Ultra 5x                 USD 99.99          Gemini 3.8 Flash            112.05      0.00892  low
29    OpenCode Go                        USD 10             Muse Spark 1.3 Contributor  110.294     0.00091  medium
30    OpenCode Go                        USD 10             Muse Spark 1.2 Contributor  110.294     0.00091  medium
31    ChatGPT Pro 20x                    USD 200            GPT 5.5                     99.821      0.02004  medium
32    MiniMax Token Plan Ultra (Global)  USD 132            MiniMax M3                  98          0.01347  high
33    GLM Coding Max (v3 ¥1078) 忙时     CNY 1078           GLM 5.3 Flash               87.4        0.0182   high
34    GLM Coding Max (v2 ¥469) 忙时      CNY 469            GLM 5.3 Flash               87.4        0.00792  high
35    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.6 Flash             87.32       0.00573  medium
36    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.5                   87.32       0.00573  medium
37    Ollama Max                         USD 100            GLM 5.3 Flash               84.866      0.01178  medium
38    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.6 Pro               79.3        0.01261  medium
39    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.5 Pro               79.3        0.01261  medium
40    OpenCode Go                        USD 10             MiMo V2.5                   78.782      0.00127  medium
41    OpenCode Go                        USD 10             MiMo V2.6 Flash             78.782      0.00127  medium
42    Claude Max 5x (9/14+)              USD 100            Claude Opus 5               78.5        0.01274  medium
43    Cursor Ultra                       USD 200            Grok 4.6                    77.37       0.02585  medium
44    Cursor Ultra                       USD 200            Grok 4.5                    77.37       0.02585  medium
45    ChatGPT Plus                       USD 20             GPT 5.6 Luna                75.11       0.00266  high
46    GLM Coding Pro (v3 ¥538) 闲时      CNY 538            GLM 5.3 Flash               74.92       0.01059  high
47    GLM Coding Pro (v2 ¥149) 闲时      CNY 149            GLM 5.3 Flash               74.92       0.00293  high
48    MiniMax Token Plan Ultra           CNY 469            MiniMax M3                  71          0.00974  high
49    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.6 Flash             69.85       0.00716  medium
50    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.5                   69.85       0.00716  medium
51    Step Plan Plus (¥99)               CNY 99             Step 3.5 Flash              69.264      0.00211  medium
52    Cursor Ultra (Composer Fast)       USD 200            Composer 2.5                68.841      0.02905  medium
53    Devin Max                          USD 200            Claude Opus 5.5             66.9        0.0299   medium
54    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.6 Pro               63.44       0.01576  medium
55    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.5 Pro               63.44       0.01576  medium
56    Ollama Max                         USD 100            DeepSeek V4 Pro             62.84       0.01591  medium
57    Ollama Pro                         USD 20             DeepSeek V4.1 Flash         62.112      0.00322  medium
58    ChatGPT Pro 5x                     USD 100            GPT 5.6 Terra               59.574      0.01679  medium
59    GLM Coding Max (v3 ¥1078) 闲时     CNY 1078           GLM 5.3                     57.69       0.02757  high
60    GLM Coding Max (v2 ¥469) 闲时      CNY 469            GLM 5.3                     57.69       0.01199  high
61    Step Plan Pro (¥199)               CNY 199            Step 5 Preview              56.637      0.00518  medium
62    GLM Coding Pro (v3 ¥538) 中间值    CNY 538            GLM 5.3 Flash               56.19       0.01412  high
63    GLM Coding Pro (v2 ¥149) 中间值    CNY 149            GLM 5.3 Flash               56.19       0.00391  high
64    Cursor Pro+ (Standard)             USD 60             Composer 2.5                53.229      0.01127  low
65    MiniMax Token Plan Max (Global)    USD 55             MiniMax M3                  51          0.01078  high
66    SuperGrok Heavy                    USD 300            Grok 4.6                    50.9        0.05894  medium
67    SuperGrok Heavy                    USD 300            Grok 4.5                    50.9        0.05894  medium
68    SuperGrok Heavy                    USD 300            Grok 4.7                    49.7        0.06036  low
69    Kimi 会员 699 (v1) †               ¥699（国际 $99）   Kimi K2.7 Code              47.04       0.02105  medium
70    Claude Pro                         USD 20             Claude Sonnet 5             46.95       0.00426  medium
71    Kimi 会员 699 (v1) †               ¥699（国际 $99）   Kimi K3                     43.53       0.02274  medium
72    GLM Coding Max (v3 ¥1078) 中间值   CNY 1078           GLM 5.3                     43.27       0.03675  high
73    GLM Coding Max (v2 ¥469) 中间值    CNY 469            GLM 5.3                     43.27       0.01599  high
74    Ollama Max                         USD 100            MiniMax M2.7                41.841      0.0239   medium
75    Command Code GOAT                  USD 10             DeepSeek V4.1 Flash         41.408      0.00241  medium
76    Command Code GOAT                  USD 10             MiMo V2.5                   39.391      0.00254  medium
77    Command Code GOAT                  USD 10             MiMo V2.6 Flash             39.391      0.00254  medium
78    Ollama Pro                         USD 20             DeepSeek V4 Flash           38.486      0.0052   medium
79    ChatGPT Pro 20x                    USD 200            GPT-6 Astra                 38.12       0.05247  medium
80    GLM Coding Pro (v3 ¥538) 忙时      CNY 538            GLM 5.3 Flash               37.46       0.02119  high
81    GLM Coding Pro (v2 ¥149) 忙时      CNY 149            GLM 5.3 Flash               37.46       0.00587  high
82    Command Code GOAT                  USD 10             Muse Spark 1.3 Contributor  36.765      0.00272  medium
83    Command Code GOAT                  USD 10             Muse Spark 1.2 Contributor  36.765      0.00272  medium
84    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.6 Pro               36.75       0.01361  medium
85    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.5 Pro               36.75       0.01361  medium
86    Claude Pro                         USD 20             Claude Opus 5.5             36.089      0.00554  low
87    Step Plan Plus (¥99)               CNY 99             Step 3.7 Flash              34.353      0.00425  medium
88    OpenCode Go                        USD 10             LongCat 2.0                 31.056      0.00322  medium
89    ChatGPT Pro 5x                     USD 100            GPT 5.6 Sol                 30.8        0.03247  medium
90    Cursor Ultra (Fast)                USD 200            Grok 4.6                    30.74       0.06506  high
91    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.6 Pro               29.4        0.01701  medium
92    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.5 Pro               29.4        0.01701  medium
93    GLM Coding Max (v3 ¥1078) 忙时     CNY 1078           GLM 5.3                     28.84       0.05514  high
94    GLM Coding Max (v2 ¥469) 忙时      CNY 469            GLM 5.3                     28.84       0.02399  high
95    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.6 Flash             25.28       0.00633  medium
96    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.5                   25.28       0.00633  medium
97    GLM Coding Pro (v3 ¥538) 闲时      CNY 538            GLM 5.3                     24.72       0.03211  high
98    GLM Coding Pro (v2 ¥149) 闲时      CNY 149            GLM 5.3                     24.72       0.00889  high
99    ChatGPT Pro 5x                     USD 100            GPT 5.5                     23.829      0.04197  medium
100   Google AI Pro                      USD 19.99          Gemini 3.8 Flash            22.41       0.00892  high
101   Ollama Max                         USD 100            MiniMax M3                  20.921      0.0478   medium
102   Cursor Pro+                        USD 60             Grok 4.6                    20.632      0.02908  medium
103   SuperGrok Plus                     USD 100            Grok 4.6                    20.4        0.04902  medium
104   MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.6 Flash             20.22       0.00791  medium
105   MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.5                   20.22       0.00791  medium
106   SuperGrok Plus                     USD 100            Grok 4.7                    19.9        0.05025  low
107   Claude Pro                         USD 20             Claude Opus 5               18.78       0.01065  high
108   Claude Pro                         USD 20             Claude Opus 4.8             18.78       0.01065  low
109   GLM Coding Pro (v3 ¥538) 中间值    CNY 538            GLM 5.3                     18.54       0.04281  high
110   GLM Coding Pro (v2 ¥149) 中间值    CNY 149            GLM 5.3                     18.54       0.01186  high
111   Cursor Pro+ (Composer Fast)        USD 60             Composer 2.5                18.358      0.03268  low
112   MiniMax Token Plan Max             CNY 119            MiniMax M3                  18          0.00975  high
113   Command Code GOAT                  USD 10             Hy3                         17.348      0.00576  medium
114   Step Plan Mini (¥49)               CNY 49             Step 3.5 Flash              17.316      0.00417  medium
