订阅月费：>$30 且 ≤$100
订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                             价格/月            服务模型             月额度(亿)  $/MTok   置信度
----  -------------------------------  -----------------  -------------------  ----------  -------  ------
1     ChatGPT Pro 5x                   USD 100            GPT 5.6 Luna         375.56      0.00266  low
2     Ollama Max                       USD 100            DeepSeek V4.1 Flash  310.559     0.00322  medium
3     Claude Max 5x (9/14+)            USD 100            Claude Sonnet 5      196.25      0.0051   low
4     Ollama Max                       USD 100            DeepSeek V4 Flash    192.431     0.0052   medium
5     MiMo Token Plan Max 夜间0.8×     ¥659（国际 $100）  MiMo V2.6 Flash      188.42      0.00531  medium
6     MiMo Token Plan Max 夜间0.8×     ¥659（国际 $100）  MiMo V2.5            188.42      0.00531  medium
7     GLM Coding Max (v2 ¥469) 闲时    CNY 469            GLM 5.3 Flash        174.81      0.00396  high
8     Claude Max 5x (9/14+)            USD 100            Claude Opus 5.5      150.852     0.00663  low
9     MiMo Token Plan Max 日间         ¥659（国际 $100）  MiMo V2.6 Flash      150.74      0.00663  medium
10    MiMo Token Plan Max 日间         ¥659（国际 $100）  MiMo V2.5            150.74      0.00663  medium
11    GLM Coding Max (v2 ¥469) 中间值  CNY 469            GLM 5.3 Flash        131.11      0.00528  high
12    Google AI Ultra 5x               USD 99.99          Gemini 3.8 Flash     112.05      0.00892  low
13    GLM Coding Max (v2 ¥469) 忙时    CNY 469            GLM 5.3 Flash        87.4        0.00792  high
14    MiMo Token Plan Pro 夜间0.8×     ¥329（国际 $50）   MiMo V2.6 Flash      87.32       0.00573  medium
15    MiMo Token Plan Pro 夜间0.8×     ¥329（国际 $50）   MiMo V2.5            87.32       0.00573  medium
16    Ollama Max                       USD 100            GLM 5.3 Flash        84.866      0.01178  medium
17    MiMo Token Plan Max 夜间0.8×     ¥659（国际 $100）  MiMo V2.6 Pro        79.3        0.01261  medium
18    MiMo Token Plan Max 夜间0.8×     ¥659（国际 $100）  MiMo V2.5 Pro        79.3        0.01261  medium
19    Claude Max 5x (9/14+)            USD 100            Claude Opus 5        78.5        0.01274  medium
20    GLM Coding Pro (v3 ¥538) 闲时    CNY 538            GLM 5.3 Flash        74.92       0.01059  high
21    MiniMax Token Plan Ultra         CNY 469            MiniMax M3           71          0.00974  high
22    MiMo Token Plan Pro 日间         ¥329（国际 $50）   MiMo V2.6 Flash      69.85       0.00716  medium
23    MiMo Token Plan Pro 日间         ¥329（国际 $50）   MiMo V2.5            69.85       0.00716  medium
24    MiMo Token Plan Max 日间         ¥659（国际 $100）  MiMo V2.6 Pro        63.44       0.01576  medium
25    MiMo Token Plan Max 日间         ¥659（国际 $100）  MiMo V2.5 Pro        63.44       0.01576  medium
26    Ollama Max                       USD 100            DeepSeek V4 Pro      62.84       0.01591  medium
27    ChatGPT Pro 5x                   USD 100            GPT 5.6 Terra        59.574      0.01679  medium
28    GLM Coding Max (v2 ¥469) 闲时    CNY 469            GLM 5.3              57.69       0.01199  high
29    GLM Coding Pro (v3 ¥538) 中间值  CNY 538            GLM 5.3 Flash        56.19       0.01412  high
30    Cursor Pro+ (Standard)           USD 60             Composer 2.5         53.229      0.01127  low
31    MiniMax Token Plan Max (Global)  USD 55             MiniMax M3           51          0.01078  high
32    Kimi 会员 699 (v1) †             ¥699（国际 $99）   Kimi K2.7 Code       47.04       0.02105  medium
33    Kimi 会员 699 (v1) †             ¥699（国际 $99）   Kimi K3              43.53       0.02274  medium
34    GLM Coding Max (v2 ¥469) 中间值  CNY 469            GLM 5.3              43.27       0.01599  high
35    Ollama Max                       USD 100            MiniMax M2.7         41.841      0.0239   medium
36    GLM Coding Pro (v3 ¥538) 忙时    CNY 538            GLM 5.3 Flash        37.46       0.02119  high
37    MiMo Token Plan Pro 夜间0.8×     ¥329（国际 $50）   MiMo V2.6 Pro        36.75       0.01361  medium
38    MiMo Token Plan Pro 夜间0.8×     ¥329（国际 $50）   MiMo V2.5 Pro        36.75       0.01361  medium
39    ChatGPT Pro 5x                   USD 100            GPT 5.6 Sol          30.8        0.03247  medium
40    MiMo Token Plan Pro 日间         ¥329（国际 $50）   MiMo V2.6 Pro        29.4        0.01701  medium
41    MiMo Token Plan Pro 日间         ¥329（国际 $50）   MiMo V2.5 Pro        29.4        0.01701  medium
42    GLM Coding Max (v2 ¥469) 忙时    CNY 469            GLM 5.3              28.84       0.02399  high
43    GLM Coding Pro (v3 ¥538) 闲时    CNY 538            GLM 5.3              24.72       0.03211  high
44    ChatGPT Pro 5x                   USD 100            GPT 5.5              23.829      0.04197  medium
45    Ollama Max                       USD 100            MiniMax M3           20.921      0.0478   medium
46    Cursor Pro+                      USD 60             Grok 4.6             20.632      0.02908  medium
47    SuperGrok Plus                   USD 100            Grok 4.6             20.4        0.04902  medium
48    SuperGrok Plus                   USD 100            Grok 4.7             19.9        0.05025  low
49    GLM Coding Pro (v3 ¥538) 中间值  CNY 538            GLM 5.3              18.54       0.04281  high
50    Cursor Pro+ (Composer Fast)      USD 60             Composer 2.5         18.358      0.03268  low
51    Kimi 会员 199 (v1) †             ¥199（国际 $39）   Kimi K2.7 Code       15.68       0.02487  medium
52    Kimi 会员 199 (v1) †             ¥199（国际 $39）   Kimi K3              14.51       0.02688  medium
53    Ollama Max                       USD 100            Kimi K2.7 Code       13.155      0.07602  medium
54    Ollama Max                       USD 100            GLM 5.1              12.766      0.07833  medium
55    GLM Coding Pro (v3 ¥538) 忙时    CNY 538            GLM 5.3              12.36       0.06421  high
56    Ollama Max                       USD 100            GLM 5.3              9.702       0.10307  medium
57    Ollama Max                       USD 100            GLM 5.2              9.702       0.10307  medium
58    Claude Max 5x (9/14+)            USD 100            Claude Fable 5       9.235       0.10828  low
59    ChatGPT Pro 5x                   USD 100            GPT-6 Astra          9.1         0.10989  low
60    Claude Max 5x (9/14+)            USD 100            Claude Fable 5.1     8.639       0.11575  low
61    Ollama Max                       USD 100            Kimi K3              6.803       0.14699  medium
62    Alibaba Cloud Coding Plan Pro    USD 50             Qwen3.7 Plus         1.98        0.25253  low
