Monthly subscription fee: >$30 and ≤$100
Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                               Monthly fee     Served model         Monthly tokens (B)  USD/MTok  Confidence
---  ---------------------------------  --------------  -------------------  ------------------  --------  ----------
1    ChatGPT Pro 5x                     USD 100         GPT 5.6 Luna         37.556              0.00266   low
2    Ollama Max                         USD 100         DeepSeek V4.1 Flash  31.0559             0.00322   medium
3    Claude Max 5x (9/14+)              USD 100         Claude Sonnet 5      19.625              0.0051    low
4    Ollama Max                         USD 100         DeepSeek V4 Flash    19.2431             0.0052    medium
5    MiMo Token Plan Max (Night 0.8x)   $100 · CN ¥659  MiMo V2.6 Flash      18.842              0.00531   medium
6    MiMo Token Plan Max (Night 0.8x)   $100 · CN ¥659  MiMo V2.5            18.842              0.00531   medium
7    GLM Coding Max (v2 ¥469) Off-peak  CNY 469         GLM 5.3 Flash        17.481              0.00396   high
8    Claude Max 5x (9/14+)              USD 100         Claude Opus 5.5      15.0852             0.00663   low
9    MiMo Token Plan Max (Day)          $100 · CN ¥659  MiMo V2.6 Flash      15.074              0.00663   medium
10   MiMo Token Plan Max (Day)          $100 · CN ¥659  MiMo V2.5            15.074              0.00663   medium
11   GLM Coding Max (v2 ¥469) Midpoint  CNY 469         GLM 5.3 Flash        13.111              0.00528   high
12   Google AI Ultra 5x                 USD 99.99       Gemini 3.8 Flash     11.205              0.00892   low
13   GLM Coding Max (v2 ¥469) Peak      CNY 469         GLM 5.3 Flash        8.74                0.00792   high
14   MiMo Token Plan Pro (Night 0.8x)   $50 · CN ¥329   MiMo V2.6 Flash      8.732               0.00573   medium
15   MiMo Token Plan Pro (Night 0.8x)   $50 · CN ¥329   MiMo V2.5            8.732               0.00573   medium
16   Ollama Max                         USD 100         GLM 5.3 Flash        8.4866              0.01178   medium
17   MiMo Token Plan Max (Night 0.8x)   $100 · CN ¥659  MiMo V2.6 Pro        7.93                0.01261   medium
18   MiMo Token Plan Max (Night 0.8x)   $100 · CN ¥659  MiMo V2.5 Pro        7.93                0.01261   medium
19   Claude Max 5x (9/14+)              USD 100         Claude Opus 5        7.85                0.01274   medium
20   GLM Coding Pro (v3 ¥538) Off-peak  CNY 538         GLM 5.3 Flash        7.492               0.01059   high
21   MiniMax Token Plan Ultra           CNY 469         MiniMax M3           7.1                 0.00974   high
22   MiMo Token Plan Pro (Day)          $50 · CN ¥329   MiMo V2.6 Flash      6.985               0.00716   medium
23   MiMo Token Plan Pro (Day)          $50 · CN ¥329   MiMo V2.5            6.985               0.00716   medium
24   MiMo Token Plan Max (Day)          $100 · CN ¥659  MiMo V2.6 Pro        6.344               0.01576   medium
25   MiMo Token Plan Max (Day)          $100 · CN ¥659  MiMo V2.5 Pro        6.344               0.01576   medium
26   Ollama Max                         USD 100         DeepSeek V4 Pro      6.284               0.01591   medium
27   ChatGPT Pro 5x                     USD 100         GPT 5.6 Terra        5.9574              0.01679   medium
28   GLM Coding Max (v2 ¥469) Off-peak  CNY 469         GLM 5.3              5.769               0.01199   high
29   GLM Coding Pro (v3 ¥538) Midpoint  CNY 538         GLM 5.3 Flash        5.619               0.01412   high
30   Cursor Pro+ (Standard)             USD 60          Composer 2.5         5.3229              0.01127   low
31   MiniMax Token Plan Max (Global)    USD 55          MiniMax M3           5.1                 0.01078   high
32   Kimi Allegro †                     $99 · CN ¥699   Kimi K2.7 Code       4.704               0.02105   medium
33   Kimi Allegro †                     $99 · CN ¥699   Kimi K3              4.353               0.02274   medium
34   GLM Coding Max (v2 ¥469) Midpoint  CNY 469         GLM 5.3              4.327               0.01599   high
35   Ollama Max                         USD 100         MiniMax M2.7         4.1841              0.0239    medium
36   GLM Coding Pro (v3 ¥538) Peak      CNY 538         GLM 5.3 Flash        3.746               0.02119   high
37   MiMo Token Plan Pro (Night 0.8x)   $50 · CN ¥329   MiMo V2.6 Pro        3.675               0.01361   medium
38   MiMo Token Plan Pro (Night 0.8x)   $50 · CN ¥329   MiMo V2.5 Pro        3.675               0.01361   medium
39   ChatGPT Pro 5x                     USD 100         GPT 5.6 Sol          3.08                0.03247   medium
40   MiMo Token Plan Pro (Day)          $50 · CN ¥329   MiMo V2.6 Pro        2.94                0.01701   medium
41   MiMo Token Plan Pro (Day)          $50 · CN ¥329   MiMo V2.5 Pro        2.94                0.01701   medium
42   GLM Coding Max (v2 ¥469) Peak      CNY 469         GLM 5.3              2.884               0.02399   high
43   GLM Coding Pro (v3 ¥538) Off-peak  CNY 538         GLM 5.3              2.472               0.03211   high
44   ChatGPT Pro 5x                     USD 100         GPT 5.5              2.3829              0.04197   medium
45   Ollama Max                         USD 100         MiniMax M3           2.0921              0.0478    medium
46   Cursor Pro+                        USD 60          Grok 4.6             2.0632              0.02908   medium
47   SuperGrok Plus                     USD 100         Grok 4.6             2.04                0.04902   medium
48   SuperGrok Plus                     USD 100         Grok 4.7             1.99                0.05025   low
49   GLM Coding Pro (v3 ¥538) Midpoint  CNY 538         GLM 5.3              1.854               0.04281   high
50   Cursor Pro+ (Composer Fast)        USD 60          Composer 2.5         1.8358              0.03268   low
51   Kimi Allegretto †                  $39 · CN ¥199   Kimi K2.7 Code       1.568               0.02487   medium
52   Kimi Allegretto †                  $39 · CN ¥199   Kimi K3              1.451               0.02688   medium
53   Ollama Max                         USD 100         Kimi K2.7 Code       1.3155              0.07602   medium
54   Ollama Max                         USD 100         GLM 5.1              1.2766              0.07833   medium
55   GLM Coding Pro (v3 ¥538) Peak      CNY 538         GLM 5.3              1.236               0.06421   high
56   Ollama Max                         USD 100         GLM 5.3              0.9702              0.10307   medium
57   Ollama Max                         USD 100         GLM 5.2              0.9702              0.10307   medium
58   Claude Max 5x (9/14+)              USD 100         Claude Fable 5       0.9235              0.10828   low
59   ChatGPT Pro 5x                     USD 100         GPT-6 Astra          0.91                0.10989   low
60   Claude Max 5x (9/14+)              USD 100         Claude Fable 5.1     0.8639              0.11575   low
61   Ollama Max                         USD 100         Kimi K3              0.6803              0.14699   medium
62   Alibaba Cloud Coding Plan Pro      USD 50          Qwen3.7 Plus         0.198               0.25253   low
